File,Time [MJD],Epoch,SNR,CBC RV [m/s],CBC RV Error [m/s],CCF RV [m/s],CCF RV Error [m/s],S Value,H-alpha Emission,H-alpha Equiv. Width [A],CCF FWHM [m/s],CCF FWHM Err. [m/s],BIS [m/s],V_span [m/s],Bi-Gaussian [m/s],Skew Normal,Date Generated
101501_190210.1141.fits,18524.97062214730,4,246.99392705084900,1.6850066184997600,0.3306455612182620,-5555.42158,0.26936,0.1618706867393580,0.2313696797591160,1.931190124042840,7589.795892619400,41.06646777980990,-71.87958478055040,-64.95391115962680,2.106879699908860,-0.00035370191737934,2020-09-08T16:09:52.446
101501_190210.1148.fits,18524.98400493970,4,86.81013765684280,2.2074038982391400,0.8790214657783510,-5556.3437300000000,0.82565,0.1561236439569640,0.2325972433586850,1.955677761428960,7614.252277046880,42.59394681515450,-68.21176672892030,-66.05722174019680,2.23227748024965,-0.9632219926502290,2020-09-08T16:10:08.315
101501_190210.1153.fits,18524.996120708700,4,260.2729336677170,3.414797782897950,0.33358922600746200,-5555.1390600000000,0.25805,0.1639524215940810,0.2324965763406990,1.933659204008140,7590.468775851530,40.95162935407300,-70.78938728205050,-64.6058597988067,2.091022813699970,-0.9639209758250520,2020-09-08T16:10:23.891
101501_190210.1154.fits,18525.001738539300,4,257.8216437772440,3.61635422706604,0.3237852156162260,-5555.35967,0.26118000000000000,0.167618471894986,0.2346565271713050,1.926930708903490,7590.079996828980,40.97026540394100,-70.89170893690150,-65.13889432815810,2.097037844364420,-0.9640914429429610,2020-09-08T16:10:39.696
101501_190210.1155.fits,18525.007847957800,4,259.457125552566,2.186817169189450,0.3225116729736330,-5556.46365,0.25812,0.1664343122112670,0.2324952726669220,1.935088875249500,7587.647481777200,40.94766011856710,-70.38055460768920,-64.04371998183800,2.032842446540600,-0.9615680525728220,2020-09-08T16:10:55.285
101501_190317.1083.fits,18559.76410035070,4,201.50434238497200,8.3607816696167,0.35889649391174300,-5552.37595,0.34265,,0.230340177805172,1.933533412792240,7644.329801955720,41.75529492788120,-78.54427519060570,-74.02130801777180,2.717400917990740,0.001813647912548700,2020-09-08T16:11:08.635
101501_190317.1084.fits,18559.768522282100,4,202.91870293297300,7.5210723876953100,0.3751181960105900,-5552.074130000000,0.3395,,0.2375619470133480,1.938765655104580,7645.436169231980,41.81027956868470,-76.7262489853756,-71.38407978017400,2.657022250742560,-0.00137377266428937,2020-09-08T16:11:21.426
101501_190317.1085.fits,18559.77287035820,4,195.87240744933900,6.012210369110110,0.36450105905532800,-5552.25004,0.35351,,0.2341913161438000,1.939258647414100,7644.630357482900,41.85039166955980,-77.3214039556151,-71.3380299585524,2.692999571509970,-0.9838083443185440,2020-09-08T16:11:34.411
101501_190427.1068.fits,18600.813854695900,4,254.20660888340400,-5.184566020965580,0.3647185266017910,-5563.24745,0.26193,0.1683569607346520,0.238784114027848,1.931149366179880,7613.442696952840,40.97214063154830,-36.80349282316180,-40.32784088020620,1.141794564779050,0.4485868962823910,2020-09-08T16:11:50.257
101501_190503.1087.fits,18606.813635470000,4,310.15963631652700,2.993962049484250,0.28834038972854600,-5553.55422,0.21608,0.1657865407335180,0.2251064158311150,1.967235021886340,7574.68479818871,40.66398654156240,-72.62945626961390,-69.47607354303450,2.799927049389230,-0.9688094045123700,2020-09-08T16:12:06.092
